Quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
4,2,3,6,0.35,2.9,1800,0,0,0,0,15,0.977555556
4,2,3,11,0.5,2.9,960,0,0,0,0,8,0.259375
5,2,4,6,0.5,2.9,1200,0,0,0,0,10,0.899
5,2,4,11,0.6,2.9,960,0,0,0,0,8,0.864583333
1,2,7,6,0.6,2.9,1200,0,0,0,0,10,0.314166667
1,2,1,6,0.6,2.9,1200,0,0,0,0,10,0.280333333
1,2,2,6,0.7,2.9,960,0,0,0,0,8,0.495416667
1,2,3,6,0.7,2.9,960,0,0,0,0,8,0.531666667
1,2,4,6,0.7,2.9,960,0,0,0,0,8,0.9425
1,2,6,6,0.75,2.9,960,0,0,0,0,8,0.845833333
2,2,7,6,0.75,2.9,960,0,0,0,0,8,0.610208333
2,2,1,6,0.75,2.9,960,0,0,0,0,8,0.888125
2,2,2,6,0.75,2.9,960,0,0,0,0,8,0.628333333
2,2,6,6,0.8,2.9,960,0,0,0,0,8,0.483333333
3,2,7,11,0.6,2.9,1200,0,0,0,0,10,0.715333333
3,2,7,6,0.8,2.9,960,0,0,0,0,8,0.604166667
3,2,1,6,0.8,2.9,960,0,0,0,0,8,0.773333333
3,2,2,6,0.8,2.9,960,0,0,0,0,8,0.749166667
3,2,3,6,0.8,2.9,1440,0,0,0,0,12,0.936861111
3,2,4,6,0.8,2.9,4320,0,0,0,0,18,0.785864198
4,2,7,6,0.8,2.9,960,0,0,0,0,8,0.8319375
4,2,7,11,0.6,2.9,2880,0,0,0,0,12,0.805555556
4,2,1,6,0.8,2.9,960,0,0,0,0,8,0.3715625
4,2,1,9,0.8,2.9,960,0,0,0,0,8,0.3715625
4,2,2,10,0.7,2.9,1800,0,0,0,0,15,0.902222222
4,2,2,6,0.75,2.9,1800,0,0,0,0,15,0.726933333
4,2,2,9,0.7,2.9,1800,0,0,0,0,15,0.726933333
4,2,2,11,0.7,2.9,960,0,0,0,0,8,0.5046875
4,2,3,10,0.7,2.9,1200,0,0,0,0,10,0.845833333
4,2,3,6,0.75,2.9,960,0,0,0,0,8,0.410833333
4,2,3,9,0.7,2.9,960,0,0,0,0,8,0.410833333
4,2,4,10,0.7,2.9,3360,0,0,0,0,8,0.410833333
4,2,4,9,0.75,2.9,960,0,0,0,0,8,0.4078125
4,2,4,6,0.75,2.9,3360,0,0,0,0,8,0.271875
4,2,6,10,0.7,2.9,3360,0,0,0,0,8,0.410833333
4,2,6,9,0.75,2.9,960,0,0,0,0,8,0.4078125
4,2,6,6,0.75,2.9,3360,0,0,0,0,8,0.271875
1,2,7,10,0.7,2.9,3360,0,0,0,0,8,0.664583333
1,2,7,9,0.75,2.9,960,0,0,0,0,8,0.447083333
1,2,1,9,0.75,2.9,1200,0,0,0,0,10,0.8004
1,2,1,10,0.7,2.9,3360,0,0,0,0,8,0.632361111
1,2,2,10,0.7,2.9,3360,0,0,0,0,8,0.463194444
1,2,2,6,0.75,2.9,3360,0,0,0,0,8,0.309333333
1,2,3,9,0.75,2.9,960,0,0,0,0,8,0.83375
1,2,4,11,0.8,2.9,1200,0,0,0,0,10,0.927291667
1,2,4,9,0.75,2.9,960,0,0,0,0,8,0.453125
1,2,6,6,0.5,2.9,960,0,0,0,0,8,0.7975
1,2,6,11,0.8,2.9,960,0,0,0,0,8,0.657083333
2,2,7,9,0.75,2.9,1080,0,0,0,0,9,0.929074074
2,2,7,11,0.8,2.9,960,0,0,0,0,8,0.755208333
2,2,7,10,0.7,2.9,960,0,0,0,0,8,0.441041667
2,2,7,6,0.6,2.9,960,0,0,0,0,8,0.271875
2,2,1,11,0.8,2.9,0,960,0,0,0,8,0.960625
2,2,1,9,0.75,2.9,0,3600,0,0,0,15,0.841
2,2,1,10,0.7,2.9,0,960,0,0,0,8,0.477291667
2,2,2,9,0.75,2.9,1800,0,0,0,0,15,0.821666667
2,2,2,11,0.8,2.9,960,0,0,0,0,8,0.758229167
2,2,2,10,0.7,2.9,960,0,0,0,0,8,0.39875
2,2,3,11,0.8,2.9,2400,0,0,0,0,10,0.874027778
2,2,3,10,0.75,2.9,960,0,0,0,0,8,0.628333333
2,2,3,9,0.75,2.9,1800,0,0,0,0,15,0.505888889
2,2,3,6,0.7,2.9,720,0,0,0,0,6,0.394722222
4,2,2,2,0.7,3.9,960,0,0,0,0,8,0.325
4,2,3,2,0.7,3.9,960,0,0,0,0,8,0.440375
4,2,4,2,0.7,3.9,960,0,0,0,0,8,0.5565625
4,2,6,2,0.7,3.9,960,0,0,0,0,8,0.5565625
1,2,7,2,0.7,3.9,960,0,0,0,0,8,0.585
1,2,1,2,0.7,3.9,1200,0,0,0,0,10,0.92885
1,2,2,2,0.4,3.9,6300,0,0,0,0,15,0.567377778
1,2,3,2,0.5,3.9,960,0,0,0,0,8,0.5403125
1,2,4,2,0.6,3.9,960,0,0,0,0,8,0.950625
1,2,6,2,0.65,3.9,1920,0,0,0,0,8,0.528125
2,2,7,2,0.7,3.9,1200,0,0,0,0,10,0.884
2,2,7,8,0.6,3.9,960,0,0,0,0,8,0.4509375
2,2,1,2,0.7,3.9,0,1200,0,0,0,10,0.6825
2,2,1,8,0.65,3.9,0,960,0,0,0,8,0.2640625
2,2,2,2,0.7,3.9,960,0,0,0,0,8,0.741
2,2,2,8,0.65,3.9,960,0,0,0,0,8,0.560625
2,2,2,7,0.5,3.9,960,0,0,0,0,8,0.560625
2,2,3,2,0.75,3.9,1920,0,0,0,0,8,0.819270833
2,2,3,8,0.7,3.9,960,0,0,0,0,8,0.625625
2,2,3,7,0.65,3.9,960,0,0,0,0,8,0.625625
1,2,4,1,0.75,3.94,960,0,0,0,0,8,0.8865
1,2,4,2,0.75,3.94,960,0,0,0,0,8,0.755166667
1,2,4,10,0.65,3.94,960,0,0,0,0,8,0.705916667
1,2,4,4,0.75,3.94,2160,0,0,0,0,18,0.593055556
1,2,6,3,0.75,3.94,1560,0,0,0,0,8,0.945277778
1,2,6,1,0.8,3.94,960,0,0,0,0,8,0.902916667
1,2,6,7,0.8,3.94,960,0,0,0,0,8,0.6253125
1,2,7,9,0.8,3.94,960,0,0,0,0,8,0.931645833
