satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary,left
0.38,0.53,2,157,3,0,0,0,0,
0.8,0.86,5,262,6,0,0,0,1,
0.11,0.88,7,272,4,0,0,0,1,
0.72,0.87,5,223,5,0,0,0,0,
0.37,0.52,2,159,3,0,0,0,0,
0.41,0.5,2,153,3,0,0,0,0,
0.1,0.77,6,247,4,0,0,0,0,
0.92,0.85,5,259,5,0,0,0,0,
0.89,1,5,224,5,0,0,0,0,
0.58,0.74,4,215,3,0,0,0,0,
0.82,0.67,2,202,3,0,0,0,0,
0.45,0.69,5,193,3,0,0,0,0,
0.78,0.82,5,247,3,0,0,0,0,
0.49,0.6,3,214,2,0,0,0,0,
0.36,0.95,3,206,4,0,0,0,0,
0.54,0.37,2,176,2,0,0,0,0,
0.99,0.91,5,136,4,0,0,0,0,
0.5,0.75,6,127,3,0,0,0,0,
0.74,0.64,4,268,3,0,0,0,0,
0.56,0.58,4,258,3,0,0,0,1,
0.34,0.39,2,136,3,0,0,0,1,
0.48,0.94,5,255,6,0,0,1,1,
0.73,0.62,3,218,3,0,0,1,1,
0.59,0.87,3,268,4,0,0,1,1,
0.4,0.53,2,158,3,0,0,0,0,
0.89,0.92,5,242,5,0,0,0,0,
0.82,0.87,4,239,5,0,0,0,0,
0.4,0.49,2,135,3,0,0,0,0,
0.41,0.46,2,128,3,0,0,1,0,
