ID,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price
1066,240,1008,3588.48,3.56,0.01
1067,200,960,1152,1.2,0.01
1068,240,1800,10512,5.84,0.02
1070,60,1200,3384,2.82,0.05
1077,240,346,1954.9,5.65,0.02
1078,30,5300,16642,3.14,0.1
1079,240,342,1932.3,5.65,0.02
1080,60,2700,10665,3.95,0.07
1084,120,3735,134385.3,35.98,0.3
1085,60,6000,80640,13.44,0.22
1086,60,11672,35016,3,0.05
1095,100,20,7000,350,3.5
1109,120,10240,420864,41.1,0.34
1110,336,400,15344,38.36,0.11
1111,300,30,1080,36,0.12
1114,30,80,2816,35.2,1.17
1115,60,1000,19770,19.77,0.33
1122,100,60,21000,350,3.5
1134,100,7500,600000,80,0.8
1140,100,6395,511600,80,0.8
1156,30,55356,386384.88,6.98,0.23
1162,40,1000,110000,110,2.75
1179,336,8,613.76,76.72,0.23
1183,60,3500,39025,11.15,0.19
1196,100,5,1750,350,3.5
1198,25,67,5025,75,3
1213,60,400,2800,7,0.12
1215,20,220,7040,32,1.6
1221,84,50,490,9.8,0.12
1222,60,5000,41300,8.26,0.14
1223,240,460,2838.2,6.17,0.03
1245,40,147,11076.45,75.35,1.88
1246,100,6,2400,400,4
1251,60,2800,19600,7,0.12
1262,100,15,6000,400,4
1279,180,260,11096.8,42.68,0.24
1281,60,894,2994.9,3.35,0.06
1282,60,25100,276100,11,0.18
1283,60,95500,144205,1.51,0.03
1285,20,900,36000,40,2
1295,120,80,3288,41.1,0.34
1298,60,70000,525000,7.5,0.12
1299,30,71577,1087970.4,15.2,0.51
1300,60,5605,202340.5,36.1,0.6
1303,100,200,16000,80,0.8
1306,60,25000,187500,7.5,0.12
1307,40,375,28500,76,1.9
1309,100,4650,372000,80,0.8
1337,60,1577,14981.5,9.5,0.16
