ID,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price
1,30,19,551,29,0.97
3,240,1000,6200,6.2,0.03
4,100,500,40000,80,0.8
15,60,31920,127360.8,3.99,0.07
16,60,38000,121600,3.2,0.05
23,240,416,2225.6,5.35,0.02
44,90,135,4374,32.4,0.36
45,60,16667,60834.55,3.65,0.06
46,60,273,532.35,1.95,0.03
47,120,2800,115080,41.1,0.34
60,120,2800,115080,41.1,0.34
61,20,2500,100000,40,2
62,100,10,850,85,0.85
64,60,10000,99800,9.98,0.17
65,100,750,60000,80,0.8
68,60,579,14764.5,25.5,0.42
69,100,1500,120000,80,0.8
80,30,2000,33000,16.5,0.55
87,200,712,8964.08,12.59,0.06
92,100,1000,80000,80,0.8
96,20,7500,202500,27,1.35
108,60,5513,140581.5,25.5,0.42
115,240,1000,1920,1.92,0.01
116,120,500,41095,82.19,0.68
130,100,750,53992.5,71.99,0.72
134,100,25,8750,350,3.5
138,25,10000,200000,20,0.8
139,25,10000,200000,20,0.8
140,25,10000,200000,20,0.8
161,60,64000,99200,1.55,0.03
176,20,10000,270000,27,1.35
262,200,40,317.6,7.94,0.04
269,30,1000,17000,17,0.57
270,60,400,3352,8.38,0.14
284,100,1500,15,0.01,0
305,100,650,6.5,0.01,0
343,200,200,340,1.7,0.01
361,100,2,278,139,1.39
391,40,476,36176,76,1.9
392,25,659,13180,20,0.8
398,100,240,2.4,0.01,0
399,100,213,2.13,0.01,0
400,100,63,13399.25,212.69,2.13
410,100,1634,117631.66,71.99,0.72
411,20,1425,38475,27,1.35
414,100,142,10222.58,71.99,0.72
420,30,8400,96432,11.48,0.38
422,270,6,405.06,67.51,0.25
423,200,600,870,1.45,0.01
438,60,400,2800,7,0.12
459,60,6,77.1,12.85,0.21
464,100,5498,439785.02,79.99,0.8
465,100,5498,54.98,0.01,0
466,20,15,691.42,46.09,2.3
530,30,1344,18359.04,13.66,0.46
531,60,20,103.4,5.17,0.09
532,30,100,1906,19.06,0.64
533,200,670,1025.1,1.53,0.01
535,30,2597,61470.99,23.67,0.79
543,100,28,9800,350,3.5
551,100,84,11676,139,1.39
598,60,30,1049.4,34.98,0.58
610,60,38640,92736,2.4,0.04
630,540,34,1547.68,45.52,0.08
637,60,42000,60900,1.45,0.02
646,240,50,696.5,13.93,0.06
660,30,16800,171192,10.19,0.34
668,25,98,3675,37.5,1.5
670,100,4500,323955,71.99,0.72
712,20,10,320,32,1.6
717,40,500,38000,76,1.9
719,12,25000,9750,0.39,0.03
772,30,9,453.6,50.4,1.68
791,100,150,10798.5,71.99,0.72
796,2,15,450,30,15
797,25,319,6380,20,0.8
835,30,80,1830.4,22.88,0.76
836,30,120,2745.6,22.88,0.76
837,200,600,858,1.43,0.01
838,60,7,91.35,13.05,0.22
839,300,40,1375.6,34.39,0.11
849,25,108,4050,37.5,1.5
858,30,50000,2520000,50.4,1.68
914,100,140,2731.4,19.51,0.2
937,20,5700,182400,32,1.6
960,60,5964,51350.04,8.61,0.14
961,60,21000,50400,2.4,0.04
962,60,10560,72864,6.9,0.12
979,60,2352,20250.72,8.61,0.14
985,300,524,21536.4,41.1,0.14
986,60,2094,21526.32,10.28,0.17
993,30,8249,185602.5,22.5,0.75
1037,30,200,4734,23.67,0.79
1046,60,80,760,9.5,0.16
1047,200,32,402.88,12.59,0.06
1048,60,46,472.88,10.28,0.17
1063,30,3025,47522.75,15.71,0.52
1065,30,3500,49840,14.24,0.47
1066,240,1008,3588.48,3.56,0.01
