Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Temperature
-0.211111111,0.86,32.2483,289,11.1251,1013.73,4.927777778
6.188888889,0.66,13.9104,310,14.168,1018.69,8.466666667
23.77777778,0.28,13.7816,7,10.3523,1015.91,23.77777778
1.25,0.92,2.6082,272,0.3864,1027.15,1.25
20.22777778,0.79,4.8783,307,15.0052,1012.12,20.22777778
5.127777778,0.73,11.0607,210,11.1251,1021.58,7.222222222
6.116666667,0.86,0.1449,300,11.2056,1025.2,6.116666667
7.272222222,0.79,10.8353,328,15.8263,1024.43,8.972222222
23.88888889,0.51,27.048,302,11.3988,1010.12,23.88888889
-1.3,0.67,17.4041,289,11.2056,1023,2.822222222
