TV,Radio,Social Media,Influencer,Sales
16,6.566230788,2.907982773,3,54.73275715
13,9.237764567,2.409567204,3,46.67789698
41,15.88644602,2.913410175,3,150.1778288
83,30.02002826,6.922303959,3,298.2463398
15,8.437407682,1.40599815,2,56.5941808
29,9.614382036,1.02716349,3,105.8891476
55,24.89381148,4.273602146,2,198.6798248
31,17.35504181,2.289854925,0,108.7339319
76,24.64889821,7.130115956,1,270.1894
13,0.431127823,2.229423022,3,48.28058223
62,24.34518879,5.151483172,0,224.9610192
42,15.8073374,3.194924641,3,145.5439916
64,20.24042393,3.921147972,2,229.6323807
34,0.226326491,2.372705624,0,121.3364193
36,3.90019598,0.060401795,0,123.5261126
60,22.35372075,0.940801841,3,212.7643968
25,9.905842649,1.853224897,2,89.8199226
100,36.11609149,3.67429598,1,353.8046387
92,40.73698967,4.636563904,0,329.3505396
46,12.69509229,3.88458384,1,162.1913335
78,35.56822382,2.832450089,1,276.4013399
37,2.828972458,4.556701242,2,128.4846619
99,37.26381865,6.88653481,0,349.8615752
75,20.34898797,1.227180495,2,272.2501078
54,27.807614,4.060781965,0,192.4619083
27,7.280088955,2.179478014,2,96.74937343
21,9.282685174,3.055758381,3,76.99292807
40,13.05041081,1.971184795,0,139.2887894
67,24.13761593,5.573093351,3,234.8510253
