TV,Radio,Social Media,Influencer,Sales
16,6.566230788,2.907982773,3,
13,9.237764567,2.409567204,3,
41,15.88644602,2.913410175,3,
83,30.02002826,6.922303959,3,
15,8.437407682,1.40599815,2,
29,9.614382036,1.02716349,3,
55,24.89381148,4.273602146,2,
31,17.35504181,2.289854925,0,
76,24.64889821,7.130115956,1,
13,0.431127823,2.229423022,3,
62,24.34518879,5.151483172,0,
42,15.8073374,3.194924641,3,
64,20.24042393,3.921147972,2,
34,0.226326491,2.372705624,0,
36,3.90019598,0.060401795,0,
60,22.35372075,0.940801841,3,
25,9.905842649,1.853224897,2,
100,36.11609149,3.67429598,1,
92,40.73698967,4.636563904,0,
46,12.69509229,3.88458384,1,
78,35.56822382,2.832450089,1,
37,2.828972458,4.556701242,2,
99,37.26381865,6.88653481,0,
75,20.34898797,1.227180495,2,
54,27.807614,4.060781965,0,
27,7.280088955,2.179478014,2,
21,9.282685174,3.055758381,3,
40,13.05041081,1.971184795,0,
67,24.13761593,5.573093351,3,
