Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,Age,Customer_Days,MntTotal,AcceptedCmpOverall,AcceptedCmp5
58138,58,635,88,546,172,88,63,2822,1529,0,0
46344,38,11,1,6,2,1,66,2272,21,0,0
71613,26,426,49,127,111,21,55,2471,734,0,0
26646,26,11,4,20,10,3,36,2298,48,0,0
82800,23,1006,22,115,59,68,74,2741,1270,2,1
84618,96,684,100,801,21,66,55,2378,1672,1,1
82384,55,984,51,432,180,120,65,2746,1767,1,1
70287,30,295,35,482,121,120,54,2612,1053,0,1
27938,31,13,0,8,2,1,32,2221,24,0,1
55954,63,447,0,28,0,0,52,2277,475,0,1
75777,12,712,26,538,69,13,38,2519,1358,2,0
66653,18,452,18,102,16,18,45,2819,606,0,0
61823,26,523,7,134,37,14,68,2655,715,0,1
67680,8,546,0,48,0,6,69,2542,600,0,0
70666,29,398,40,367,119,122,72,2364,1046,0,0
25721,75,1,3,6,3,6,49,2563,19,0,0
32474,0,10,0,1,0,0,53,2208,11,0,0
88194,19,688,14,309,201,24,41,2261,1236,2,0
69096,4,247,49,159,7,82,62,2434,544,0,0
74854,90,856,59,487,58,29,50,2606,1489,0,0
66991,1,496,36,460,189,60,66,2815,1241,0,1
65031,29,258,107,291,84,37,61,2628,777,0,0
60631,88,565,6,65,0,6,45,2609,642,1,0
65846,68,562,81,276,80,40,75,2567,1039,0,1
87195,35,217,76,690,50,26,61,2211,1059,0,0
24594,94,1,3,6,10,0,41,2360,20,0,0
49096,15,144,1,32,2,1,56,2437,180,0,1
52413,56,295,106,271,75,98,51,2671,845,0,0
38557,17,76,3,31,4,4,42,2716,118,0,0
89058,18,454,194,106,31,22,60,2728,807,0,0
77298,46,425,115,292,23,35,41,2398,890,0,0
68126,40,1332,17,311,23,51,29,2755,1734,1,0
57288,27,527,0,21,0,0,57,2163,548,1,1
86037,95,490,44,125,29,20,29,2702,708,2,0
43974,19,378,0,101,0,0,40,2723,479,0,0
50785,27,64,1,21,0,1,58,2451,87,0,0
90765,25,547,99,812,151,82,50,2315,1691,2,0
36550,74,47,90,94,123,103,42,2654,457,0,0
101970,69,722,27,102,44,72,37,2633,967,3,0
71488,87,162,33,124,40,28,55,2655,387,0,0
79607,37,450,133,951,173,0,36,2593,1707,0,1
54348,51,70,0,16,0,0,67,2180,86,0,0
77376,72,492,19,110,16,12,64,2209,649,0,0
62998,10,120,58,73,65,89,68,2431,405,0,1
61331,42,534,5,47,0,5,62,2635,591,0,0
73448,10,236,106,189,23,41,51,2298,595,0,0
41551,51,220,0,33,3,0,56,2478,256,0,1
92859,46,962,61,921,52,61,28,2777,2057,0,1
65104,4,738,0,232,13,20,44,2386,1003,0,0
86111,73,399,28,756,36,40,58,2595,1259,0,0
68352,47,614,16,132,43,33,46,2464,838,0,0
51650,81,152,3,22,2,5,44,2208,184,0,0
16248,77,12,11,10,3,12,32,2209,48,0,1
66835,21,620,26,195,34,17,74,2433,892,0,0
30477,16,47,1,6,0,0,36,2317,54,0,0
69661,80,656,16,106,32,16,40,2206,826,0,0
80067,82,519,17,813,27,173,66,2442,1549,1,1
86718,20,344,189,482,50,33,66,2687,1098,0,0
46854,81,96,1,79,7,1,47,2249,184,1,0
63887,38,897,23,207,15,11,58,2818,1153,0,1
42011,46,131,0,16,2,1,42,2619,150,0,0
51369,84,297,7,79,0,11,44,2771,394,0,1
7500,54,5,3,10,12,7,47,2344,37,0,1
73455,98,901,61,757,186,163,52,2403,2068,1,0
64961,97,382,114,276,75,124,62,2712,971,0,0
69867,30,196,0,512,33,130,34,2612,871,1,1
63841,64,635,15,100,20,7,52,2593,777,0,0
24480,46,4,19,9,28,25,39,2662,85,0,0
23976,68,14,1,21,2,3,36,2343,41,0,0
80950,44,525,147,112,219,147,59,2617,1150,1,1
27038,64,1,26,25,17,23,54,2808,92,0,1
77457,85,675,11,400,15,45,73,2275,1146,1,0
64100,93,509,0,27,0,0,56,2451,536,1,0
42670,12,154,2,46,20,4,28,2587,226,0,0
12571,86,3,5,14,2,12,44,2321,36,0,0
22574,28,25,0,8,2,0,53,2403,35,0,1
70893,42,768,44,561,77,44,44,2667,1494,0,1
54198,13,185,0,28,3,2,54,2353,218,0,0
28839,86,24,0,7,0,0,64,2269,31,0,1
