Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumCatalogPurchases,NumStorePurchases,MntTotal
58138,0,0,635,88,546,172,88,10,4,1529
46344,1,1,11,1,6,2,1,1,2,21
71613,0,0,426,49,127,111,21,2,10,734
26646,1,0,11,4,20,10,3,0,4,48
58293,1,0,173,43,118,46,27,3,6,407
62513,0,1,520,42,98,0,42,4,10,702
55635,0,1,235,65,164,50,49,3,7,563
33454,1,0,76,10,56,3,1,0,4,146
30351,1,0,14,0,24,3,3,0,2,44
5648,1,1,28,0,6,1,1,0,0,36
7500,0,0,6,16,11,11,1,0,3,45
63033,0,0,194,61,480,225,112,4,8,1072
59354,1,1,233,2,53,3,5,1,5,296
17323,0,0,3,14,17,6,1,0,3,41
82800,0,0,1006,22,115,59,68,6,12,1270
41850,1,1,53,5,19,2,13,0,3,92
37760,0,0,84,5,38,150,12,1,6,289
76995,0,1,1012,80,498,0,16,4,9,1606
33812,1,0,4,17,19,30,24,1,3,94
37040,0,0,86,2,73,69,38,2,5,268
2447,1,0,1,1,1725,1,1,28,0,1729
58607,0,1,867,0,86,0,0,3,9,953
65324,0,1,384,0,102,21,32,2,9,539
40689,0,1,270,3,27,39,6,1,5,345
18589,0,0,6,4,25,15,12,1,3,62
53359,1,1,173,4,30,3,6,1,4,216
38360,1,0,36,2,42,20,21,1,4,121
84618,0,0,684,100,801,21,66,9,10,1672
10979,0,0,8,4,10,2,2,0,3,26
38620,0,0,112,17,44,34,22,5,3,229
40548,0,1,110,0,5,2,0,1,4,117
46610,0,2,96,12,96,33,22,1,6,259
68657,0,0,482,34,471,119,68,5,9,1174
49389,1,1,40,0,19,2,1,0,3,62
67353,0,1,702,17,151,0,8,6,12,878
23718,1,0,6,3,14,15,7,1,2,45
42429,0,1,55,0,6,2,0,1,3,63
48948,0,0,437,8,206,160,49,10,5,860
80011,0,1,421,76,536,82,178,6,5,1293
20559,1,0,13,1,29,3,0,0,3,46
21994,0,1,9,0,6,3,1,0,3,19
7500,1,0,3,1,10,3,2,0,3,19
79941,0,0,123,164,266,227,30,4,9,810
7500,0,0,3,18,14,15,22,1,3,72
41728,1,0,13,6,15,3,5,0,2,42
72550,1,1,826,50,317,50,38,2,12,1281
65486,0,1,245,19,125,37,67,2,10,493
79143,0,0,650,37,780,27,167,9,13,1661
35790,1,0,12,6,20,30,1,0,3,69
82582,0,0,510,120,550,156,40,9,7,1376
66373,1,1,328,9,124,12,24,2,10,497
82384,0,0,984,51,432,180,120,10,13,1767
70287,0,0,295,35,482,121,120,5,10,1053
27938,1,0,13,0,8,2,1,0,4,24
55954,0,1,447,0,28,0,0,2,6,475
75777,0,0,712,26,538,69,13,6,11,1358
66653,1,1,452,18,102,16,18,2,12,606
61823,0,1,523,7,134,37,14,2,10,715
67680,0,1,546,0,48,0,6,3,8,600
70666,0,0,398,40,367,119,122,4,4,1046
25721,1,0,1,3,6,3,6,1,2,19
32474,1,1,10,0,1,0,0,0,2,11
88194,0,1,688,14,309,201,24,10,10,1236
69096,0,1,247,49,159,7,82,2,10,544
74854,1,2,856,59,487,58,29,5,5,1489
66991,0,0,496,36,460,189,60,8,6,1241
65031,0,1,258,107,291,84,37,3,13,777
60631,1,1,565,6,65,0,6,2,8,642
28332,0,0,14,10,13,4,15,1,4,56
40246,1,0,2,1,6,2,1,0,2,12
75251,0,0,721,111,925,97,18,6,5,1872
75825,0,0,1032,105,779,137,105,8,9,2158
26326,0,0,1,0,5,0,3,0,3,9
56046,0,0,577,0,64,0,0,1,8,641
29760,1,0,64,4,68,7,5,1,4,148
26304,1,0,4,1,5,2,0,0,2,12
23559,1,0,25,5,19,7,0,0,3,56
38620,0,0,112,17,44,34,22,5,3,229
81361,0,0,163,23,424,27,65,10,13,702
29440,1,1,17,8,14,10,4,0,4,53
36138,1,1,130,0,16,0,0,1,4,146
50388,0,1,292,6,37,0,3,1,6,338
79593,0,0,350,60,568,110,133,6,7,1221
54178,0,1,135,9,39,4,0,2,5,187
42394,1,0,15,2,10,0,1,0,3,28
23626,1,0,27,2,14,0,0,1,3,43
30096,1,0,5,3,11,12,5,0,3,36
47916,0,1,505,0,26,0,0,4,6,531
51813,1,1,51,2,7,0,1,0,3,61
78497,0,0,207,26,447,75,0,7,12,755
50150,0,0,135,46,92,65,61,2,7,399
47823,0,1,53,1,5,2,1,0,3,62
34554,0,1,41,1,6,2,0,0,3,50
85693,0,1,386,172,183,185,132,5,11,1058
65846,0,0,562,81,276,80,40,3,6,1039
87195,0,0,217,76,690,50,26,11,5,1059
24594,1,0,1,3,6,10,0,0,3,20
49096,1,1,144,1,32,2,1,1,4,180
52413,0,2,295,106,271,75,98,4,12,845
