Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumCatalogPurchases,NumStorePurchases,MntTotal
38557,76,3,31,4,4,1,3,118
89058,454,194,106,31,22,4,4,807
77298,425,115,292,23,35,6,11,890
68126,1332,17,311,23,51,4,5,1734
57288,527,0,21,0,0,1,8,548
86037,490,44,125,29,20,7,11,708
43974,378,0,101,0,0,4,6,479
50785,64,1,21,0,1,1,3,87
90765,547,99,812,151,82,6,5,1691
36550,47,90,94,123,103,1,5,457
30753,12,5,25,0,9,1,3,51
21918,1,6,7,11,5,0,3,30
56129,320,48,133,39,72,2,10,612
32557,34,3,29,0,4,1,3,70
19510,9,0,7,3,4,0,3,23
30992,17,0,14,7,3,0,3,41
101970,722,27,102,44,72,8,13,967
71488,162,33,124,40,28,4,7,387
79607,450,133,951,173,0,6,6,1707
54348,70,0,16,0,0,0,4,86
77376,492,19,110,16,12,3,10,649
62998,120,58,73,65,89,4,5,405
61331,534,5,47,0,5,1,6,591
73448,236,106,189,23,41,2,9,595
41551,220,0,33,3,0,1,5,256
62981,796,14,590,38,44,5,13,1482
9548,0,1,3,10,6,0,3,20
33762,53,1,34,2,0,2,2,90
35860,15,0,8,4,2,1,2,29
36921,17,1,12,3,1,0,3,34
92859,962,61,921,52,61,4,12,2057
65104,738,0,232,13,20,5,7,1003
86111,399,28,756,36,40,7,10,1259
68352,614,16,132,43,33,5,9,838
41883,32,34,41,73,16,2,3,196
59809,598,16,141,32,41,3,6,828
23957,2,1,18,20,11,0,3,52
38547,6,1,10,0,1,0,2,18
35688,73,3,90,12,1,1,4,179
49605,42,16,29,12,20,1,4,119
59354,295,21,78,39,13,4,7,446
65747,346,17,48,23,13,1,6,447
46344,233,20,57,8,20,1,5,338
34176,5,7,24,19,14,0,4,69
61010,888,0,57,0,0,5,11,945
69372,997,26,269,34,13,4,6,1339
49967,212,6,69,4,12,1,5,303
60199,8,1,7,2,0,0,3,18
55375,42,11,57,10,28,1,6,148
